,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
American, 8.43 , 7.83 , 8.07 , 8.27 , 8.28 , 8.95 , 10.25 , 9.76 , 8.99 , 7.85 , 7.82 , 7.82 , 7.83 , 9.22 , 9.25 , 9.21 , 9.80 , 9.34 , 8.94 , 9.32 , 9.48 , 9.87 , 10.48 , 10.75 
Continental, 7.24 , 7.77 , 7.71 , 8.00 , 8.17 , 8.16 , 8.38 , 8.41 , 7.86 , 8.03 , 7.60 , 7.56 , 7.69 , 7.77 , 7.97 , 8.35 , 8.18 , -   , -   , -   , -   , -   , -   , -   
Delta, 7.56 , 8.03 , 7.68 , 7.89 , 7.93 , 7.98 , 8.51 , 8.58 , 9.12 , 8.56 , 7.53 , 7.40 , 7.23 , 7.18 , 7.78 , 8.06 , 8.31 , 8.83 , 9.07 , 9.49 , 9.73 , 10.01 , 10.43 , 10.21 
Northwest, 7.83 , 7.70 , 7.60 , 8.49 , 7.96 , 8.14 , 8.76 , 9.03 , 8.82 , 8.94 , 9.10 , 8.08 , 7.99 , 8.40 , 8.69 , -   , -   , -   , -   , -   , -   , -   , -   , -   
United, 7.59 , 7.82 , 8.08 , 8.04 , 8.16 , 8.68 , 9.86 , 9.37 , 8.36 , 7.78 , 7.35 , 7.52 , 7.77 , 9.01 , 7.89 , 8.41 , 8.99 , 9.03 , 9.29 , 9.33 , 9.37 , 9.87 , 9.93 , 10.08 
US Airways, 10.09 , 10.98 , 11.19 , 11.12 , 11.53 , 10.70 , 11.02 , 10.43 , 9.93 , 9.02 , 7.59 , 12.48 , 10.94 , 9.88 , 8.53 , 8.48 , 8.54 , 8.67 , 9.08 , 8.62 , -   , -   , -   , -   
America West, 6.29 , 6.65 , 6.25 , 6.54 , 6.63 , 7.07 , 7.95 , 6.96 , 6.53 , 5.89 , 6.63 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Southwest, 5.94 , 6.26 , 6.23 , 6.47 , 6.51 , 6.32 , 6.19 , 6.15 , 6.29 , 6.31 , 6.19 , 6.47 , 6.54 , 6.80 , 7.31 , 7.76 , 8.02 , 8.23 , 8.30 , 8.56 , 8.67 , 8.81 , 8.97 , 8.90 
jetBlue, -   , -   , -   , -   , -   , 7.43 , 5.72 , 5.51 , 4.95 , 4.72 , 4.82 , 5.18 , 5.36 , 5.90 , 6.35 , 6.67 , 6.78 , 7.05 , 7.33 , 7.61 , 7.92 , 7.99 , 8.40 , 8.56 
AirTran, -   , -   , 8.28 , 7.08 , 6.53 , 6.80 , 7.14 , 6.51 , 6.46 , 6.61 , 6.67 , 6.50 , 6.27 , 6.28 , 6.59 , 6.95 , 7.30 , -   , -   , -   , -   , -   , -   , -   
Frontier, 8.98 , 9.04 , 8.71 , 7.34 , 7.00 , 7.70 , 7.94 , 7.89 , 7.07 , 6.76 , 6.62 , 6.77 , 6.34 , 6.48 , 6.55 , 6.99 , 7.83 , 7.32 , 7.94 , 6.81 , 6.34 , 5.86 , 5.70 , 6.04 
Virgin America, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5.43 , 12.51 , 6.44 , 6.45 , 6.79 , 6.83 , 7.02 , 7.60 , 8.38 , 8.21 , 7.78 , -   
Alaska, 6.70 , 6.97 , 7.38 , 7.34 , 7.64 , 8.54 , 8.80 , 8.67 , 8.39 , 8.17 , 8.16 , 8.83 , 8.86 , 8.04 , 8.52 , 7.96 , 7.74 , 7.76 , 7.66 , 7.46 , 7.55 , 7.39 , 7.55 , 7.94 
Hawaiian, 6.31 , 6.14 , 6.07 , 6.24 , 7.23 , 6.76 , 6.56 , 9.10 , 7.60 , 7.81 , 7.72 , 7.89 , 7.46 , 7.37 , 8.57 , 8.83 , 9.30 , 8.20 , 7.87 , 8.10 , 8.23 , 9.17 , 9.15 , 9.33 
Spirit, 7.06 , 7.71 , 7.28 , 7.93 , 6.34 , 6.22 , 6.47 , 5.88 , 5.88 , 6.23 , 6.92 , 7.86 , 5.83 , 5.83 , 5.59 , 5.90 , 5.96 , 6.16 , 6.12 , 6.15 , 5.66 , 5.74 , 5.70 , 5.75 
Allegiant, -   , -   , -   , -   , -   , -   , -   , -   , -   , 8.14 , 7.78 , 4.18 , 4.24 , 4.95 , 4.99 , 5.06 , 5.69 , 5.28 , 5.51 , 6.51 , 5.68 , 5.87 , 6.78 , 6.41 
Total All Sectors, 7.83 , 7.92 , 7.96 , 8.15 , 8.17 , 8.39 , 9.06 , 8.80 , 8.34 , 7.85 , 7.49 , 7.71 , 7.62 , 8.13 , 8.05 , 8.20 , 8.47 , 8.63 , 8.72 , 8.89 , 9.04 , 9.29 , 9.56 , 9.60 